orden,parte,descripcion,und_prg,t_est,destino,modulo,operario,ruta,f_inicio,h_inicio,f_fin,h_fin,t_total,u_primera,u_segunda,comentario,rendimiento
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,55,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,56,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,116,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,183,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,378,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,382,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,629,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,692,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,710,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,801,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,612,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
OTP2061710422,PAACM-SEMCT-35028A,CAMA MASCOTAS FLANNEL 85*100 PETS 22,342,7,"2,MASCOTAS TERCERA SALIDA",1,,C000-Almohada,2022/05/17,06:06,2022/05/17,11:00,200,140,,TENGO 2 MUCHACHOS  ORGANIZANDO COJINES  EN ESTANTERIA YREVISAR CAMAS DE PERRO PORQUE ESTAN MUY MAL  ,82
